timestamp,cpu_percent,load_1min,load_5min,load_15min
1763845266,-64883,0.20,4.92,8.07
1763845268,-64996,0.42,4.89,8.04
1763845270,-65139,0.42,4.89,8.04
1763845274,-65214,1.51,5.04,8.08
1763845276,-65349,1.51,5.04,8.08
1763845284,-65535,2.84,5.22,8.10
1763845290,-65688,3.66,5.35,8.13
1763845292,-65877,3.66,5.35,8.13
1763845295,-66025,3.60,5.31,8.10
1763845298,-66101,3.60,5.31,8.10
1763845302,-66347,3.47,5.26,8.07
1763845304,-66422,3.28,5.18,8.03
1763845307,-67011,3.28,5.18,8.03
1763845310,-68116,4.14,5.33,8.06
1763845314,-69505,5.25,5.54,8.11
1763845319,-70087,7.63,6.03,8.26
1763845325,-70542,9.66,6.48,8.39
1763845334,-70738,11.41,6.96,8.53
1763845347,-71011,13.50,7.55,8.70
1763845362,-71266,18.54,8.95,9.14
