timestamp,total_mb,used_mb,free_mb,available_mb,swap_used_mb,swap_free_mb
1763845266,15698,3887,4896,11811,2562,26453
1763845268,15698,3704,4713,11994,2562,26453
1763845270,15698,3840,3742,11858,2562,26453
1763845273,15698,3822,3721,11876,2562,26453
1763845276,15698,3852,4678,11846,2562,26453
1763845284,15698,3838,4909,11860,2562,26453
1763845290,15698,3734,5012,11964,2562,26453
1763845292,15698,3690,5865,12008,2562,26453
1763845295,15698,3733,6268,11965,2562,26453
1763845298,15698,4111,5872,11587,2562,26453
1763845302,15698,4649,5274,11049,2562,26453
1763845304,15698,4931,4964,10767,2562,26453
1763845307,15698,5414,3955,10284,2562,26453
1763845310,15698,6432,2491,9266,2562,26453
1763845314,15698,7029,1191,8669,2562,26453
1763845319,15698,7452,233,8246,2562,26453
1763845325,15698,9377,299,6321,2565,26450
1763845333,15698,12553,759,3145,2632,26383
1763845347,15698,15237,248,461,4103,24912
1763845362,15698,15016,278,682,5039,23976
